artype,artreslag,n_dep_poly_tonnespyr,area_km2
10,98,1347.5240631142933,1772.6021254277728
20,98,7829.672193412142,12290.029020724669
30,31,38054.058441446374,68485.89806056439
30,32,10560.939042210806,28477.4896349859
30,33,3371.6410631550807,6821.739902564471
30,99,5484.409635610169,20441.79834039113
50,39,39304.654125101006,136650.14514812324
60,31,2181.844128193022,4644.005995256974
60,32,436.2978808494542,1378.3933487461793
60,33,181.37630280797245,467.7462727507844
60,39,4545.383150564491,15158.250880635293
70,98,798.3174907908054,2830.0774261616007
81,98,7406.516674960256,18391.762636086398
82,98,1672.8322491436138,3344.193681896288
99,98,0.153352812811344,0.6108181382441203
