"STATION_ID","DATASOURCE_ID","LOCAL_PK","DATASOURCE_STATION_ID","ENTERED_BY","ENTERED_DATE"
45816,11,100,3924,"",
71719,11,100,5325,"JES",18.05.2020
46065,11,101,1641,"",
47628,11,102,5301,"JES",11.03.2020
45933,11,102,4077,"",
46214,11,103,1783,"",
45817,11,104,3925,"",
45818,11,105,3926,"",
45919,11,107,4063,"",
37928,11,108,3609,"",
46066,11,109,1642,"",
46340,11,110,1865,"",
46203,11,112,1773,"",
26150,11,115,2689,"",
26151,11,116,2690,"",
45527,11,118,3642,"",
45803,11,119,3911,"",
45675,11,120,3786,"",
45922,11,121,4066,"",
45676,11,122,3787,"",
46341,11,123,1866,"",
46637,11,124,2144,"",
45677,11,125,3788,"",
45678,11,126,3789,"",
46204,11,128,1774,"",
45797,11,129,3905,"",
45805,11,132,3913,"",
46344,11,134,1869,"",
26152,11,135,2691,"",
45923,11,136,4067,"",
45924,11,138,4068,"",
45679,11,139,3790,"",
46493,11,140,2008,"",
45680,11,141,3791,"",
69483,11,142,5302,"JES",11.03.2020
45806,11,142,3914,"",
45681,11,143,3792,"",
45807,11,144,3915,"",
45682,11,145,3793,"",
45683,11,146,3794,"",
46345,11,147,1870,"",
46205,11,148,1775,"",
45920,11,149,4064,"",
46057,11,150,1633,"",
46206,11,151,1776,"",
46494,11,152,2009,"",
45808,11,155,3916,"",
45809,11,156,3917,"",
46058,11,158,1634,"",
46495,11,161,2010,"",
46059,11,162,1635,"",
45925,11,163,4069,"",
45810,11,165,3918,"",
26153,11,166,2692,"",
46186,11,168,1757,"",
45811,11,169,3919,"",
45927,11,170,4071,"",
26154,11,171,2693,"",
46056,11,172,1632,"",
46061,11,173,1637,"",
45812,11,174,3920,"",
45813,11,176,3921,"",
46496,11,178,2011,"",
46210,11,179,1780,"",
45684,11,180,3795,"",
45959,11,181,4101,"",
45928,11,182,4072,"",
45929,11,183,4073,"",
45530,11,184,3645,"",
46497,11,185,2012,"",
26155,11,187,2694,"",
46212,11,189,1781,"",
46346,11,190,1871,"",
72799,11,191,5307,"JES",12.03.2020
45931,11,191,4075,"",
45815,11,192,3923,"",
26156,11,193,2695,"",
46498,11,194,2013,"",
46508,11,195,2023,"",
66221,11,195,5304,"JES",11.03.2020
46062,11,196,1638,"",
45531,11,197,3646,"",
45689,11,12710,3800,"",
