short_name,medium,avg_ex_meqpm2pyr
7882,soil,10.1
7882,vegetation,26.9
7882,water_sswc,33.8
7882,water_fab,53.8
8387,soil,10.4
8387,vegetation,38.2
8387,water_sswc,33.0
8387,water_fab,63.9
8892,soil,11.4
8892,vegetation,35.9
8892,water_sswc,33.2
8892,water_fab,61.1
9296,soil,2.7
9296,vegetation,23.8
9296,water_sswc,23.2
9296,water_fab,40.4
9701,soil,
9701,vegetation,22.2
9701,water_sswc,20.6
9701,water_fab,37.8
0206,soil,
0206,vegetation,22.5
0206,water_sswc,16.4
0206,water_fab,36.7
0711,soil,
0711,vegetation,19.3
0711,water_sswc,12.7
0711,water_fab,30.1
1216_old,soil,
1216_old,vegetation,22.0
1216_old,water_sswc,11.0
1216_old,water_fab,31.5
1721_old,soil,
1721_old,vegetation,11.8
1721_old,water_sswc,9.2
1721_old,water_fab,21.3
1721_blrgrid,soil,
1721_blrgrid,vegetation,11.6
1721_blrgrid,water_sswc,9.7
1721_blrgrid,water_fab,22.8
1721_metgrid,soil,
1721_metgrid,vegetation,12.1
1721_metgrid,water_sswc,9.6
1721_metgrid,water_fab,22.7
